Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
105.574,80.975,6.292,4.3,75.75,895.5,914.4,102.8,87.6,145.3,811.7,8.53,19.04,3
105.505,80.617,6.864,3.1860449324048123,74.81,880.1264908,896.8,120.5,107.3,146.1,874.6,8.76,18.73,1
105.902,81.058,6.864,3.190208611973294,74.81,908.6,918.2,120.5,106.2,147.6,920.2,8.76,18.72,1
105.904,81.226,6.292,3.34,75.73,895.5,913.8,115.1,104.1,146.1,889.1,8.76,18.81,3
105.449,81.162,6.864,3.186743629216821,74.81,903.1,902.4442767756626,120.5,104.9,145.6,882.3,8.84,18.72,1
106.298,81.38,6.968,3.27,74.81,918.8,936.3,115.1,104.1,145.4,908.7,8.81,18.75,2
140.605,81.102,7.332,3.14,74.8,920.4,938.2,119.9,110,145.3,916.3,8.88,18.69,2
105.902,81.058,6.968,3.82,74.82,919.9105404470108,896.8,120.5,106.48962286685928,147,922.3,8.85,18.73,1
105.871,80.799,6.916,3.19,74.81,915.8,933.7,121.7,107.3,146.1,916.5,8.87,18.7,2
106.101,81.96,11.128,3,75.64,901.4,918,113.3,100.6,145.7,874.4,8.81,18.76,4
106.46485436986428,81.437,6.968,3.197084137350969,74.81,903.1,904,120.5,106.53032551088889,145.6,922.3,8.85,18.75,1
105.883,81.089,6.188,3.26,75.77,889.4,911.6,126.4,111.4,146.3,893,8.82,18.75,3
105.902,81.471,6.864,3.16,74.83,901.6,904,127.3,106.39614059244502,145.8,926.5,8.68,18.75,1
106.31,81.382,6.864,3.19,74.81,910.5,927.8,115.1,104.5,146.6,913.6,8.84,18.73,2
105.902,81.437,6.968,4.08,74.81,879.0665259792457,935.9,118.4,106.47219112851144,145.6,922.3,8.81,18.77,1
106.244,81.325,7.124,3.25,74.81,915.1,932.1,113.9,101.9,145.5,907.7,8.8,18.77,2
106.316,81.441,7.124,3.25,74.81,910.3,927.8,111.5,103.5,145.3,908.1,8.81,18.76,2
106.27411779712408,81.402,7.124,3.82,74.81,880.3883547931116,919.9,120.5,104.9,147,923.9,8.68,18.89,1
106.137,81.544,6.084,2.87,75.65,905.1,919.7,115.7,106.6,145.6,891.4,8.87,18.7,4
106.064,82.049,11.128,2.93,75.62,901.1,915.8,120.5,105,145.9,893.4,8.9,18.67,4
106.12,81.518,6.084,2.86,75.62,903.1,920.1,116.6,106.7,145.3,899.4,8.9,18.67,4
105.661,80.928,6.292,3.83,75.73,902,921.2,107,95.4,145.9,821.7,8.54,19.02,3
106.249,81.399,6.864,3.23,74.8,912.5,928.9,117.2,102.9,145,911,8.8,18.77,2
105.959,81.219,6.292,3.28,75.72,894.6,912.9,117.8,107.2,145.1,904.6,8.81,18.76,3
105.61,80.79,6.292,4.27,75.73,900.7,923.2,98,87.7,146.3,819,8.55,19.01,3
106.232,81.388,6.968,3.27,74.81,913.2,928.7,117.5,104.1,146.7,911.2,8.78,18.79,2
105.858,80.692,6.864,3.32,74.81,915.1,931.7,120.2,106.6,146.4,898.7,8.84,18.73,2
105.516,80.862,6.292,4.1,75.74,894.1,916.9,101.9,90.2,145.3,810.2,8.5,19.07,3
105.844,81.094,6.292,3.33,75.73,895.5,915.6,118.7,107.5,147.5,893.5,8.8,18.77,3
105.953,81.247,6.188,3.36,75.74,891.7,912.9,117.5,104.4,145.5,873,8.68,18.89,3
105.902,81.437,6.864,3.16,74.83,908.6,902.5867475820796,118.4,106.52509651352992,146.7,922.3,8.76,18.77,1
106.27435944967236,81.437,7.228,3.179682348214524,74.82,885.7651417,902.1490641432443,120.5,93.1,146.7,923.9,8.59,18.76,1
106.47191690705756,81.027,6.864,3.2,74.82,919.6880369977944,938.2,127.3,106.492142,147,882.3,8.85,18.89,1
106.118,82.073,10.868,2.97,75.64,899.8,916.6,112.4,102.5,147,888,8.87,18.7,4
106.017,80.955,6.968,3.12,74.81,921,937,125.2,111,145.5,915.6,8.86,18.71,2
105.879,81.059,6.292,3.41,75.75,891.8,913.1,113,105.5,147.5,863.4,8.67,18.9,3
106.27658340184529,81.437,6.968,3.18820761,74.82,919.1765961297464,938.2,120.5,106.40302350847244,146,882.3,8.81,18.89,1
106.027,81.94,11.128,2.93,75.64,903.6,918.8,113.6,104.5,146.5,886.5,8.89,18.67,4
106.478,81.33,6.968,3.22,74.8,876.7,895.2,114.8,104.2,147.1,926.1,8.84,18.73,1
106.048,81.261,6.864,3.2,74.8,912.5,927.5,116.6,106.1,146,916.7,8.86,18.71,2
106.108,81.398,6.084,2.86,75.63,904.4,921,123.8,106,146.4,898.6,8.97,18.6,4
